Symbol;Strike;Bid;Ask;Last
PETRA232;22.81;6.92;7.09;6.95
PETRA239;23.81;5.93;6.09;5.98
PETRA252;24.81;4.98;5.09;5.01
PETRA257;25.31;4.48;4.64;4.44
PETRA261;25.81;4.01;4.15;3.90
PETRA266;26.31;3.57;3.68;3.45
PETRA271;26.81;3.12;3.22;3.16
PETRA277;27.31;2.67;2.76;2.61
PETRA281;27.81;2.24;2.33;2.22
PETRA285;28.31;1.88;1.90;1.89
PETRA289;28.81;1.52;1.54;1.52
PETRA296;29.31;1.19;1.21;1.20
PETRA301;29.81;0.92;0.93;0.92
PETRA307;30.31;0.69;0.71;0.70
PETRA311;30.81;0.52;0.53;0.52
PETRA317;31.31;0.38;0.39;0.38
PETRA325;32.31;0.20;0.22;0.22
PETRA329;32.81;0.16;0.17;0.16
PETRA333;33.31;0.12;0.13;0.12
PETRA342;33.81;0.10;0.11;0.10
PETRA343;34.31;0.07;0.09;0.08
PETRA351;34.81;0.06;0.07;0.06
PETRA358;35.81;0.04;0.05;0.04
PETRA363;36.31;0.03;0.04;0.05
PETRA368;36.81;0.02;0.04;0.03
PETRA373;37.31;0.02;0.03;0.04
PETRA378;37.81;0.02;0.03;0.02
PETRA383;38.31;0.01;0.02;0.02
PETRA388;38.81;0.01;0.02;0.02
PETRA393;39.31;0.01;0.02;0.02
PETRA398;39.81;0.01;0.02;0.02
